Tiempo (s),Potencial (mV),EKG (mV)
2.505,0.251526252,0.137970797
2.51,-0.10989011,0.161795786
2.515,0.658119658,0.175482229
2.52,0.78021978,0.241476151
2.525,-0.103785104,0.326932191
2.53,0.001221001,0.335106316
2.535,0.549450549,0.297962222
2.54,-0.064713065,0.272477449
2.545,-0.146520147,0.222281468
2.55,0.46031746,0.161308959
2.555,0.096459096,0.141717182
2.56,-0.282051282,0.123054435
2.565,0.203907204,0.079002346
2.57,0.412698413,0.067599109
2.575,-0.231990232,0.086298505
2.58,-0.047619048,0.075008188
2.585,0.51037851,0.064063469
2.59,-0.105006105,0.086907757
2.595,-0.196581197,0.086893805
2.6,0.523809524,0.072035539
2.605,0.158730159,0.098017963
2.61,-0.239316239,0.12047866
2.615,0.236874237,0.10546328
2.62,0.424908425,0.109034261
2.625,-0.218559219,0.130719212
2.63,-0.010989011,0.116192673
2.635,0.550671551,0.101914688
2.64,-0.046398046,0.124246141
2.645,-0.136752137,0.127116227
2.65,0.565323565,0.116393092
2.655,0.262515263,0.1476021
2.66,-0.207570208,0.17643888
2.665,0.308913309,0.165273242
2.67,0.550671551,0.173613773
2.675,-0.170940171,0.202851175
2.68,-0.030525031,0.188022666
2.685,0.57020757,0.161637101
2.69,-0.045177045,0.167951047
2.695,-0.146520147,0.155442052
2.7,0.550671551,0.130407583
2.705,0.21001221,0.147767523
2.71,-0.201465201,0.164524227
2.715,0.289377289,0.146856015
2.72,0.499389499,0.151510418
2.725,-0.15018315,0.178338467
2.73,0.04029304,0.16966462
2.735,0.704517705,0.16338101
2.74,-0.017094017,0.196213968
2.745,-0.124542125,0.201332965
2.75,0.568986569,0.180668234
2.755,0.225885226,0.194338752
2.76,-0.178266178,0.204066914
2.765,0.389499389,0.183136766
2.77,0.58974359,0.193968159
2.775,-0.137973138,0.229517996
2.78,0.018315018,0.219970466
2.785,0.681318681,0.201439657
2.79,0.00976801,0.219311318
2.795,-0.144078144,0.213317021
2.8,0.57020757,0.184468307
2.805,0.256410256,0.194032224
2.81,-0.192918193,0.203994023
2.815,0.288156288,0.178573419
2.82,0.496947497,0.173731358
2.825,-0.177045177,0.190267733
2.83,-0.034188034,0.168304053
2.835,0.522588523,0.139231595
2.84,-0.094017094,0.141542954
2.845,-0.208791209,0.122362862
2.85,0.437118437,0.086914635
2.855,0.083028083,0.087971091
2.86,-0.282051282,0.087071606
2.865,0.205128205,0.057832249
2.87,0.347985348,0.054747877
2.875,-0.27960928,0.071798908
2.88,-0.10989011,0.052121965
2.885,0.43956044,0.03006666
2.89,-0.108669109,0.044144374
2.895,-0.241758242,0.042020896
2.9,0.388278388,0.023815939
2.905,0.091575092,0.039363573
2.91,-0.251526252,0.05450411
2.915,0.244200244,0.044176123
2.92,0.450549451,0.06265709
2.925,-0.186813187,0.104401002
2.93,-0.018315018,0.108370039
2.935,0.581196581,0.106828646
2.94,-0.029304029,0.137784317
2.945,-0.129426129,0.145721029
2.95,0.528693529,0.133831323
2.955,0.155067155,0.153250337
2.96,-0.231990232,0.162516501
2.965,0.267399267,0.13516988
2.97,0.518925519,0.134686019
2.975,-0.180708181,0.161471969
2.98,-0.025641026,0.150932971
2.985,0.612942613,0.135472542
2.99,-0.004884005,0.158014664
2.995,-0.139194139,0.161347406
3,0.543345543,0.145211151
